DATA_TYPE COF
VERSION Tekscan 압력 측정 시스템 7.00-23
HARDWARE 00114-A988
MAP_VERSION 8.0
HW_TYPE 7
VersaPogoFsx 0
VersaV6CuffFsx 1
파일 이름 C:\Tekscan\FScan\Database\MOVIES\이재영\04L.fsx
SENSOR_TYPE FSCAN
ROWS 60
COLS 21
ROW_SPACING 0.508 centimeters
COL_SPACING 0.508 centimeters
SENSEL_AREA 0.258064 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.01
MICRO_SECOND 1
TIME 2021-12-09 5:10:52.432오후
SATURATION_PRESSURE 816.499 KPa 
CALIBRATION_POINT_1 179 (Pounds) 9636 (Raw Sum) 372 (Number of Loaded Cells)
CALIBRATION_MODE_1 단계
CALIBRATION_INFO C:\Tekscan\FScan\Database\MOVIES\이재영\04L.fsx
SENSITIVITY 기본
MAP_INDEX 1
SUBMAP 1
START_FRAME 1
END_FRAME 11770
COMMENTS Frame, Time, (Absolute Time), Row (cm), Col (cm), Raw Sum
ASCII_DATA @@

245, 2.44, 2021-12-09 5:10:54.872오후, 20.68, 5.16, 3186
246, 2.45, 2021-12-09 5:10:54.882오후, 20.64, 5.17, 3176
247, 2.46, 2021-12-09 5:10:54.892오후, 20.68, 5.16, 3172
248, 2.47, 2021-12-09 5:10:54.902오후, 20.68, 5.16, 3166
249, 2.48, 2021-12-09 5:10:54.912오후, 20.65, 5.17, 3156
250, 2.49, 2021-12-09 5:10:54.922오후, 20.64, 5.17, 3148
251, 2.5, 2021-12-09 5:10:54.932오후, 20.70, 5.17, 3125
252, 2.51, 2021-12-09 5:10:54.942오후, 20.70, 5.19, 3097
253, 2.52, 2021-12-09 5:10:54.952오후, 20.74, 5.17, 3075
254, 2.53, 2021-12-09 5:10:54.962오후, 20.76, 5.17, 3044
255, 2.54, 2021-12-09 5:10:54.972오후, 20.77, 5.19, 3014
256, 2.55, 2021-12-09 5:10:54.982오후, 20.81, 5.19, 2974
257, 2.56, 2021-12-09 5:10:54.992오후, 20.77, 5.21, 2928
258, 2.57, 2021-12-09 5:10:55.002오후, 20.70, 5.21, 2886
259, 2.58, 2021-12-09 5:10:55.012오후, 20.55, 5.22, 2824
260, 2.59, 2021-12-09 5:10:55.022오후, 20.42, 5.20, 2738
261, 2.6, 2021-12-09 5:10:55.032오후, 20.13, 5.25, 2626
262, 2.61, 2021-12-09 5:10:55.042오후, 19.95, 5.20, 2538
263, 2.62, 2021-12-09 5:10:55.052오후, 19.73, 5.21, 2412
264, 2.63, 2021-12-09 5:10:55.062오후, 19.51, 5.15, 2318
265, 2.64, 2021-12-09 5:10:55.072오후, 19.28, 5.15, 2228
266, 2.65, 2021-12-09 5:10:55.082오후, 19.11, 5.17, 2125
267, 2.66, 2021-12-09 5:10:55.092오후, 18.66, 5.11, 2046
268, 2.67, 2021-12-09 5:10:55.102오후, 18.21, 5.13, 1944
269, 2.68, 2021-12-09 5:10:55.112오후, 17.60, 5.13, 1816
270, 2.69, 2021-12-09 5:10:55.122오후, 16.79, 5.18, 1706
271, 2.7, 2021-12-09 5:10:55.132오후, 16.04, 5.22, 1547
272, 2.71, 2021-12-09 5:10:55.142오후, 14.96, 5.22, 1491
273, 2.72, 2021-12-09 5:10:55.152오후, 14.03, 5.21, 1399
274, 2.73, 2021-12-09 5:10:55.162오후, 13.32, 5.21, 1333
275, 2.74, 2021-12-09 5:10:55.172오후, 12.73, 5.26, 1318
276, 2.75, 2021-12-09 5:10:55.182오후, 11.61, 5.21, 1209
277, 2.76, 2021-12-09 5:10:55.192오후, 10.99, 5.27, 1147
278, 2.77, 2021-12-09 5:10:55.202오후, 10.64, 5.36, 1148
279, 2.78, 2021-12-09 5:10:55.212오후, 10.24, 5.53, 1107
280, 2.79, 2021-12-09 5:10:55.222오후, 10.08, 5.50, 1070
281, 2.8, 2021-12-09 5:10:55.232오후, 9.83, 5.60, 996
282, 2.81, 2021-12-09 5:10:55.242오후, 9.73, 5.84, 895
283, 2.82, 2021-12-09 5:10:55.252오후, 9.39, 5.90, 798
284, 2.83, 2021-12-09 5:10:55.262오후, 9.13, 6.07, 689
285, 2.84, 2021-12-09 5:10:55.272오후, 9.24, 6.13, 592
286, 2.85, 2021-12-09 5:10:55.282오후, 8.92, 6.27, 442
287, 2.86, 2021-12-09 5:10:55.292오후, 8.54, 6.69, 295
288, 2.87, 2021-12-09 5:10:55.302오후, 8.37, 7.33, 192
289, 2.88, 2021-12-09 5:10:55.312오후, 6.60, 8.22, 90
290, 2.89, 2021-12-09 5:10:55.322오후, 5.52, 8.06, 40
291, 2.9, 2021-12-09 5:10:55.332오후, 5.63, 8.17, 18
292, 2.91, 2021-12-09 5:10:55.342오후, -0.51, -0.51, 0
